score_name,description,path,top1,top20
text_all,Mean generated-text-prefix attention over all generated steps.,./results_l9_l16/coco/llama-3-vila1.5-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_text_all.json,L12H12,L12H12 L13H31 L16H30 L13H28 L14H26 L14H8 L15H6 L15H5 L12H15 L16H29 L15H7 L11H17 L9H10 L16H24 L9H9 L14H10 L12H3 L9H3 L16H31 L14H21
itext_all,Mean intervention text-slice attention over all generated steps.,./results_l9_l16/coco/llama-3-vila1.5-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_itext_all.json,L12H12,L12H12 L13H31 L16H30 L13H28 L14H26 L15H5 L14H8 L15H6 L12H15 L9H3 L16H31 L16H29 L11H17 L15H7 L16H24 L9H10 L9H9 L10H26 L11H18 L14H10
text_hall,Mean generated-text-prefix attention on hallucinated object steps.,./results_l9_l16/coco/llama-3-vila1.5-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_text_hall.json,L12H12,L12H12 L13H31 L16H30 L12H15 L14H26 L13H28 L16H29 L16H28 L14H8 L15H6 L15H5 L14H11 L15H7 L11H17 L12H0 L12H3 L13H19 L15H9 L15H24 L10H26
text_object,Mean generated-text-prefix attention on object steps.,./results_l9_l16/coco/llama-3-vila1.5-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_text_object.json,L12H12,L12H12 L16H30 L13H31 L14H26 L16H29 L13H28 L15H6 L12H15 L14H8 L16H28 L14H11 L15H7 L15H5 L11H17 L15H24 L15H8 L12H3 L12H0 L9H3 L16H24
ratio_all,Mean-level T/(T+I) over all generated steps.,./results_l9_l16/coco/llama-3-vila1.5-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_ratio_all.json,L12H12,L12H12 L14H26 L14H8 L11H17 L11H16 L16H29 L9H9 L15H7 L10H9 L13H24 L16H13 L16H31 L12H17 L15H31 L16H22 L14H11 L9H10 L9H11 L10H15 L10H30
ratio_hall,Mean-level T/(T+I) on hallucinated object steps.,./results_l9_l16/coco/llama-3-vila1.5-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_ratio_hall.json,L12H12,L12H12 L14H26 L16H29 L11H17 L14H11 L11H16 L9H9 L13H24 L14H8 L15H7 L10H9 L9H11 L10H30 L12H0 L16H22 L10H15 L15H31 L12H18 L16H28 L16H31
logtoi_hall,"Log text-over-image ratio on hallucinated object steps, from mean masses.",./results_l9_l16/coco/llama-3-vila1.5-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_logtoi_hall.json,L12H12,L12H12 L14H26 L16H29 L11H17 L14H11 L11H16 L9H9 L13H24 L14H8 L15H7 L10H9 L9H11 L10H30 L12H0 L16H22 L10H15 L15H31 L12H18 L16H28 L16H31
low_image_hall,Heads that pay little image attention on hallucinated object steps.,./results_l9_l16/coco/llama-3-vila1.5-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_low_image_hall.json,L12H12,L12H12 L14H26 L16H29 L12H17 L9H26 L11H17 L11H16 L16H13 L9H24 L10H9 L9H9 L14H11 L13H24 L9H11 L16H14 L15H31 L14H8 L15H28 L12H19 L16H22
C_text_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in text-prefix attention.,./results_l9_l16/coco/llama-3-vila1.5-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_C_text_hall_minus_nonhall.json,L15H17,L15H17 L11H30 L9H30 L16H22 L15H28 L15H9 L13H22 L13H19 L11H0 L11H2 L15H16 L15H14 L10H26 L15H13 L14H10 L15H25 L16H9 L15H12 L10H14 L15H27
C_ratio_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in T/(T+I).,./results_l9_l16/coco/llama-3-vila1.5-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_C_ratio_hall_minus_nonhall.json,L15H1,L15H1 L13H26 L10H27 L10H18 L15H2 L13H27 L9H31 L9H27 L10H20 L9H13 L15H21 L13H14 L13H30 L11H6 L15H26 L15H27 L9H14 L10H28 L15H17 L11H1
C_logtoi_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in log text-over-image.,./results_l9_l16/coco/llama-3-vila1.5-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_C_logtoi_hall_minus_nonhall.json,L15H1,L15H1 L15H28 L9H24 L9H26 L9H10 L10H30 L9H30 L15H2 L11H10 L13H22 L13H26 L13H27 L12H24 L12H13 L12H28 L9H9 L12H26 L12H15 L11H8 L13H28
C_itext_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in intervention text-slice mass.,./results_l9_l16/coco/llama-3-vila1.5-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_C_itext_hall_minus_nonhall.json,L15H17,L15H17 L11H30 L16H22 L15H28 L9H30 L13H22 L13H19 L11H0 L15H16 L15H9 L15H14 L16H9 L15H13 L11H2 L15H12 L10H14 L10H26 L14H10 L15H25 L15H27
C_image_drop_nonhall_minus_hall,Image-attention drop from grounded to hallucinated object steps.,./results_l9_l16/coco/llama-3-vila1.5-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_C_image_drop_nonhall_minus_hall.json,L9H13,L9H13 L9H14 L10H27 L10H18 L13H4 L9H27 L15H21 L14H5 L9H20 L9H31 L13H26 L10H20 L15H20 L13H14 L13H13 L13H30 L15H4 L14H31 L9H19 L15H26
RelC_text_hall_minus_nonhall,Relative contrast in text-prefix attention: delta/(hall+grounded).,./results_l9_l16/coco/llama-3-vila1.5-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_RelC_text_hall_minus_nonhall.json,L15H1,L15H1 L10H12 L15H2 L15H17 L15H28 L12H17 L10H7 L9H30 L13H27 L16H9 L13H22 L10H14 L9H26 L12H19 L13H26 L16H22 L16H18 L10H13 L11H30 L11H6
RelC_ratio_hall_minus_nonhall,Relative contrast in T/(T+I): delta/(hall+grounded).,./results_l9_l16/coco/llama-3-vila1.5-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_RelC_ratio_hall_minus_nonhall.json,L15H1,L15H1 L10H27 L10H18 L13H26 L9H27 L9H13 L9H31 L15H21 L13H27 L15H2 L10H20 L13H30 L15H26 L11H6 L13H14 L14H5 L9H14 L10H28 L9H19 L11H1
RelC_logtoi_hall_minus_nonhall,Relative contrast in log text-over-image.,./results_l9_l16/coco/llama-3-vila1.5-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_RelC_logtoi_hall_minus_nonhall.json,L15H1,L15H1 L13H26 L10H27 L10H18 L15H2 L13H27 L10H20 L9H27 L9H31 L9H26 L9H13 L9H30 L15H21 L15H17 L9H24 L15H28 L15H27 L15H13 L13H14 L13H22
RelC_image_drop,Relative image-attention drop on hallucinated object steps.,./results_l9_l16/coco/llama-3-vila1.5-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_RelC_image_drop.json,L10H27,L10H27 L9H10 L10H30 L9H14 L9H24 L10H20 L11H10 L12H28 L13H26 L12H21 L9H27 L9H31 L13H28 L10H18 L9H20 L15H4 L9H26 L12H4 L9H13 L12H12
Specific_text_delta_x_hall,Absolute text contrast gated by hallucinated-step text strength.,./results_l9_l16/coco/llama-3-vila1.5-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_Specific_text_delta_x_hall.json,L15H9,L15H9 L11H30 L13H19 L15H16 L16H22 L12H15 L10H26 L14H10 L11H0 L11H2 L13H22 L15H25 L13H24 L9H30 L15H27 L15H13 L11H9 L15H17 L15H14 L11H26
