score_name,description,path,top1,top20
text_all,Mean generated-text-prefix attention over all generated steps.,./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_text_all.json,L15H11,L15H11 L10H1 L13H8 L14H20 L16H9 L10H30 L16H3 L15H25 L11H6 L12H24 L14H16 L16H31 L16H2 L16H22 L12H9 L12H31 L15H4 L15H10 L15H9 L14H29
itext_all,Mean intervention text-slice attention over all generated steps.,./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_itext_all.json,L15H11,L15H11 L10H1 L14H16 L10H30 L13H8 L14H20 L13H17 L16H9 L16H3 L16H6 L12H24 L11H6 L15H25 L12H9 L16H2 L11H0 L16H31 L10H31 L16H22 L15H9
text_hall,Mean generated-text-prefix attention on hallucinated object steps.,./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_text_hall.json,L10H1,L10H1 L14H20 L13H8 L10H30 L16H9 L15H28 L14H16 L16H21 L16H12 L12H24 L12H31 L11H6 L15H25 L15H11 L16H17 L14H22 L10H27 L9H31 L12H29 L15H16
text_object,Mean generated-text-prefix attention on object steps.,./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_text_object.json,L10H1,L10H1 L13H8 L14H20 L16H21 L11H6 L10H30 L16H9 L16H12 L10H17 L15H11 L16H15 L15H28 L12H24 L12H31 L16H11 L15H25 L14H16 L14H14 L12H10 L15H16
ratio_all,Mean-level T/(T+I) over all generated steps.,./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_ratio_all.json,L12H31,L12H31 L10H17 L15H11 L9H27 L13H8 L11H0 L15H25 L10H1 L16H11 L14H22 L14H14 L10H3 L12H6 L15H16 L15H9 L10H25 L12H29 L16H12 L12H24 L16H15
ratio_hall,Mean-level T/(T+I) on hallucinated object steps.,./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_ratio_hall.json,L12H31,L12H31 L10H17 L13H8 L12H29 L9H27 L14H22 L16H15 L16H12 L15H28 L16H11 L10H25 L16H8 L15H16 L15H25 L10H1 L13H26 L10H5 L12H24 L14H14 L11H0
logtoi_hall,"Log text-over-image ratio on hallucinated object steps, from mean masses.",./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_logtoi_hall.json,L12H31,L12H31 L10H17 L13H8 L12H29 L9H27 L14H22 L16H15 L16H12 L15H28 L16H11 L10H25 L16H8 L15H16 L15H25 L10H1 L13H26 L10H5 L12H24 L14H14 L11H0
low_image_hall,Heads that pay little image attention on hallucinated object steps.,./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_low_image_hall.json,L12H31,L12H31 L10H17 L12H29 L14H6 L9H27 L13H8 L12H6 L10H25 L14H22 L16H8 L9H28 L16H15 L13H26 L10H5 L15H3 L10H22 L10H3 L16H11 L16H12 L11H27
C_text_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in text-prefix attention.,./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_C_text_hall_minus_nonhall.json,L10H13,L10H13 L12H28 L13H19 L14H7 L13H10 L14H16 L11H28 L16H17 L9H31 L13H20 L12H18 L11H25 L15H5 L9H20 L10H23 L13H7 L15H7 L11H18 L15H28 L16H4
C_ratio_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in T/(T+I).,./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_C_ratio_hall_minus_nonhall.json,L16H30,L16H30 L14H7 L16H17 L15H5 L15H14 L15H19 L16H1 L14H1 L16H13 L11H18 L15H31 L16H5 L15H27 L13H19 L16H4 L12H15 L10H10 L16H19 L12H14 L13H4
C_logtoi_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in log text-over-image.,./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_C_logtoi_hall_minus_nonhall.json,L13H19,L13H19 L15H13 L16H17 L12H28 L14H7 L14H20 L15H31 L15H5 L16H30 L11H18 L16H2 L15H14 L9H4 L9H31 L15H22 L10H13 L10H20 L14H1 L15H19 L14H16
C_itext_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in intervention text-slice mass.,./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_C_itext_hall_minus_nonhall.json,L10H13,L10H13 L12H28 L13H19 L13H10 L14H7 L11H28 L13H20 L16H17 L9H31 L12H18 L10H23 L11H25 L13H7 L15H7 L11H18 L15H5 L16H30 L9H4 L16H4 L15H28
C_image_drop_nonhall_minus_hall,Image-attention drop from grounded to hallucinated object steps.,./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_C_image_drop_nonhall_minus_hall.json,L16H17,L16H17 L15H5 L16H5 L15H27 L15H14 L16H13 L16H30 L15H19 L14H19 L10H29 L11H31 L10H6 L12H4 L14H2 L14H3 L12H14 L14H11 L14H4 L15H20 L14H9
RelC_text_hall_minus_nonhall,Relative contrast in text-prefix attention: delta/(hall+grounded).,./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_RelC_text_hall_minus_nonhall.json,L16H1,L16H1 L13H19 L14H1 L14H7 L16H30 L11H18 L12H28 L13H7 L12H15 L12H2 L11H28 L16H0 L10H23 L10H7 L11H5 L10H13 L15H15 L11H2 L16H19 L14H6
