score_name,top20_overlap,top30_overlap,top50_overlap,top100_overlap,known_mean_percentile,known_median_percentile,top1,description,path
itext_all,3,8,14,19,0.8490598193489746,0.9110378912685337,L31H4,Mean intervention text-slice attention over all generated steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_itext_all.json
Fusion_halltext50_logC30_imgdrop20,5,8,11,15,0.8014542975629154,0.8632619439868204,L29H10,Rank fusion: hallucinated-step text reliance + log text-over-image contrast + image drop.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Fusion_halltext50_logC30_imgdrop20.json
Fusion_text40_absC30_relC30,6,8,11,16,0.7771970686814748,0.8698517298187809,L14H16,"Rank fusion balancing global text reliance, absolute text contrast, and relative text contrast.",LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Fusion_text40_absC30_relC30.json
text_all,5,7,14,18,0.8528091802533658,0.914332784184514,L31H27,Mean generated-text-prefix attention over all generated steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_text_all.json
Specific_text_delta_x_hall,5,6,10,16,0.7061864454922456,0.8533772652388798,L14H16,Absolute text contrast gated by hallucinated-step text strength.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Specific_text_delta_x_hall.json
text_hall,3,6,8,16,0.8280406748849628,0.8896210873146623,L31H27,Mean generated-text-prefix attention on hallucinated object steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_text_hall.json
Fusion_text70_ratioC30,4,5,10,19,0.8434357779923877,0.8780889621087314,L26H14,"Rank fusion: 70% global text-prefix reliance, 30% hallucination contrast in T/(T+I).",LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Fusion_text70_ratioC30.json
Specific_logtoi_delta_x_hall,5,5,9,14,0.6825541100948702,0.8088962108731466,L31H27,Absolute log text-over-image contrast gated by hallucinated-step strength.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Specific_logtoi_delta_x_hall.json
Specific_text_threefactor,4,5,9,13,0.6726694313469296,0.7924217462932455,L13H19,Text mass three-factor score: delta * relative contrast * hall strength.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Specific_text_threefactor.json
C_text_hall_minus_nonhall,4,5,8,13,0.6754530477759473,0.7957166392092256,L14H7,Positive hallucinated minus grounded object contrast in text-prefix attention.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_C_text_hall_minus_nonhall.json
ratio_all,3,5,6,12,0.7336817587911152,0.7940691927512356,L31H27,Mean-level T/(T+I) over all generated steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_ratio_all.json
C_itext_hall_minus_nonhall,3,4,10,13,0.6836902800658978,0.785831960461285,L13H19,Positive hallucinated minus grounded object contrast in intervention text-slice mass.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_C_itext_hall_minus_nonhall.json
Fusion_text50_ratioC30_imgdrop20,3,4,7,14,0.7894677043685735,0.8352553542009885,L16H17,Rank fusion: text reliance + ratio contrast + image-attention drop.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Fusion_text50_ratioC30_imgdrop20.json
text_object,1,3,9,18,0.8161676986877237,0.8682042833607908,L31H27,Mean generated-text-prefix attention on object steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_text_object.json
C_logtoi_hall_minus_nonhall,3,3,8,11,0.6510822018974038,0.7891268533772653,L21H10,Positive hallucinated minus grounded object contrast in log text-over-image.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_C_logtoi_hall_minus_nonhall.json
