score_name,description,path,top1,top20
text_all,Mean generated-text-prefix attention over all generated steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_text_all.json,L31H27,L31H27 L31H4 L15H11 L29H15 L31H0 L13H8 L14H20 L31H13 L16H9 L28H25 L29H10 L19H16 L16H3 L23H18 L17H28 L26H4 L15H25 L19H18 L19H27 L20H20
itext_all,Mean intervention text-slice attention over all generated steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_itext_all.json,L31H4,L31H4 L31H27 L15H11 L29H15 L14H16 L13H8 L31H0 L14H20 L13H17 L24H23 L31H13 L28H25 L16H9 L29H10 L19H16 L16H3 L26H4 L16H6 L19H18 L17H28
text_hall,Mean generated-text-prefix attention on hallucinated object steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_text_hall.json,L31H27,L31H27 L31H4 L29H15 L31H13 L14H20 L13H8 L14H16 L23H1 L16H9 L15H28 L30H2 L29H10 L28H25 L31H0 L26H9 L17H24 L16H21 L28H23 L16H12 L19H0
text_object,Mean generated-text-prefix attention on object steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_text_object.json,L31H27,L31H27 L31H4 L29H15 L13H8 L28H25 L31H13 L30H2 L17H24 L29H10 L14H20 L16H21 L31H0 L23H1 L16H9 L16H12 L27H12 L28H23 L22H11 L19H0 L15H11
ratio_all,Mean-level T/(T+I) over all generated steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_ratio_all.json,L31H27,L31H27 L15H11 L31H4 L27H15 L13H8 L19H16 L21H22 L31H0 L15H25 L23H1 L23H18 L17H15 L16H11 L18H2 L14H22 L22H26 L14H14 L31H13 L17H17 L15H16
ratio_hall,Mean-level T/(T+I) on hallucinated object steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_ratio_hall.json,L31H27,L31H27 L31H4 L19H0 L13H8 L21H22 L27H15 L26H9 L14H22 L16H15 L27H12 L31H13 L16H12 L28H23 L17H17 L23H18 L15H28 L17H15 L16H11 L19H16 L31H0
logtoi_hall,"Log text-over-image ratio on hallucinated object steps, from mean masses.",LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_logtoi_hall.json,L31H27,L31H27 L31H4 L19H0 L13H8 L21H22 L27H15 L26H9 L14H22 L16H15 L27H12 L31H13 L16H12 L28H23 L17H17 L23H18 L15H28 L17H15 L16H11 L19H16 L31H0
low_image_hall,Heads that pay little image attention on hallucinated object steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_low_image_hall.json,L31H27,L31H27 L22H10 L30H17 L27H24 L26H12 L27H15 L28H10 L30H13 L23H11 L26H6 L29H16 L27H20 L19H17 L17H17 L21H22 L18H29 L30H20 L29H0 L19H0 L27H27
C_text_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in text-prefix attention.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_C_text_hall_minus_nonhall.json,L14H7,L14H7 L13H19 L13H10 L14H16 L13H20 L16H17 L15H5 L20H12 L13H7 L15H7 L18H31 L31H22 L18H9 L21H10 L16H30 L16H4 L19H29 L15H24 L15H28 L30H1
C_ratio_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in T/(T+I).,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_C_ratio_hall_minus_nonhall.json,L16H30,L16H30 L20H30 L18H31 L19H15 L22H16 L14H7 L19H31 L30H24 L21H10 L20H28 L31H22 L16H17 L24H4 L22H23 L23H7 L24H24 L21H13 L21H19 L23H23 L20H12
C_logtoi_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in log text-over-image.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_C_logtoi_hall_minus_nonhall.json,L21H10,L21H10 L29H10 L26H28 L18H23 L19H31 L28H25 L22H11 L13H19 L16H17 L26H9 L18H31 L30H24 L31H27 L15H13 L14H20 L26H14 L29H29 L21H13 L16H30 L14H7
