score_name,description,path,top1,top20
text_all,Mean generated-text-prefix attention over all generated steps.,./results_l13_l15_l18_l19_l20/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l13_l15_l18_l19_l20_allheads/surrogate_score_zoo/ranked_heads_text_all.json,L18H7,L18H7 L19H0 L18H25 L19H4 L18H8 L18H17 L20H1 L18H20 L18H0 L20H2 L13H13 L18H9 L15H12 L20H7 L20H3 L15H23 L20H22 L13H18 L15H11 L18H21
itext_all,Mean intervention text-slice attention over all generated steps.,./results_l13_l15_l18_l19_l20/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l13_l15_l18_l19_l20_allheads/surrogate_score_zoo/ranked_heads_itext_all.json,L18H7,L18H7 L19H0 L18H25 L19H2 L18H8 L19H4 L15H26 L18H17 L20H1 L18H20 L18H0 L20H2 L13H13 L20H3 L15H23 L15H12 L20H22 L18H9 L13H18 L20H7
text_hall,Mean generated-text-prefix attention on hallucinated object steps.,./results_l13_l15_l18_l19_l20/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l13_l15_l18_l19_l20_allheads/surrogate_score_zoo/ranked_heads_text_hall.json,L18H7,L18H7 L19H0 L18H25 L18H8 L19H4 L20H1 L18H17 L18H20 L18H9 L20H2 L13H13 L19H12 L15H5 L13H9 L18H0 L15H12 L15H26 L13H18 L20H22 L15H11
text_object,Mean generated-text-prefix attention on object steps.,./results_l13_l15_l18_l19_l20/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l13_l15_l18_l19_l20_allheads/surrogate_score_zoo/ranked_heads_text_object.json,L19H0,L19H0 L18H7 L18H25 L20H1 L18H8 L19H4 L18H17 L20H2 L13H13 L18H20 L18H9 L18H0 L19H12 L19H2 L15H5 L20H3 L15H11 L15H12 L13H9 L13H18
ratio_all,Mean-level T/(T+I) over all generated steps.,./results_l13_l15_l18_l19_l20/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l13_l15_l18_l19_l20_allheads/surrogate_score_zoo/ranked_heads_ratio_all.json,L18H7,L18H7 L19H0 L15H11 L13H13 L20H1 L18H9 L13H8 L15H5 L13H9 L15H12 L19H8 L19H13 L15H8 L19H2 L15H9 L18H8 L19H10 L19H7 L18H3 L19H9
ratio_hall,Mean-level T/(T+I) on hallucinated object steps.,./results_l13_l15_l18_l19_l20/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l13_l15_l18_l19_l20_allheads/surrogate_score_zoo/ranked_heads_ratio_hall.json,L18H7,L18H7 L19H0 L15H11 L13H13 L20H1 L18H9 L15H5 L13H9 L13H8 L15H12 L15H8 L15H9 L18H8 L19H10 L19H2 L19H8 L19H13 L19H12 L18H25 L18H0
logtoi_hall,"Log text-over-image ratio on hallucinated object steps, from mean masses.",./results_l13_l15_l18_l19_l20/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l13_l15_l18_l19_l20_allheads/surrogate_score_zoo/ranked_heads_logtoi_hall.json,L18H7,L18H7 L19H0 L15H11 L13H13 L20H1 L18H9 L15H5 L13H9 L13H8 L15H12 L15H8 L15H9 L18H8 L19H10 L19H2 L19H8 L19H13 L19H12 L18H25 L18H0
low_image_hall,Heads that pay little image attention on hallucinated object steps.,./results_l13_l15_l18_l19_l20/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l13_l15_l18_l19_l20_allheads/surrogate_score_zoo/ranked_heads_low_image_hall.json,L18H7,L18H7 L19H0 L15H11 L13H13 L20H1 L13H8 L18H9 L15H5 L13H9 L15H8 L19H9 L19H8 L15H9 L15H12 L19H13 L18H3 L18H2 L19H10 L19H2 L18H1
C_text_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in text-prefix attention.,./results_l13_l15_l18_l19_l20/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l13_l15_l18_l19_l20_allheads/surrogate_score_zoo/ranked_heads_C_text_hall_minus_nonhall.json,L13H25,L13H25 L13H7 L19H5 L15H6 L19H3 L15H2 L19H23 L13H24 L19H27 L13H14 L20H18 L19H1 L13H20 L19H14 L15H22 L20H9 L13H16 L15H23 L20H5 L19H24
C_ratio_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in T/(T+I).,./results_l13_l15_l18_l19_l20/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l13_l15_l18_l19_l20_allheads/surrogate_score_zoo/ranked_heads_C_ratio_hall_minus_nonhall.json,L15H27,L15H27 L13H14 L13H5 L19H5 L13H20 L13H22 L13H25 L20H9 L18H13 L13H0 L19H23 L20H18 L13H24 L20H23 L15H7 L19H14 L13H12 L13H4 L15H24 L13H16
C_logtoi_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in log text-over-image.,./results_l13_l15_l18_l19_l20/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l13_l15_l18_l19_l20_allheads/surrogate_score_zoo/ranked_heads_C_logtoi_hall_minus_nonhall.json,L19H0,L19H0 L18H7 L15H13 L13H0 L15H12 L15H27 L18H25 L13H9 L15H23 L18H21 L15H6 L13H12 L15H0 L15H22 L13H7 L20H18 L19H12 L18H20 L15H7 L13H25
C_itext_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in intervention text-slice mass.,./results_l13_l15_l18_l19_l20/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l13_l15_l18_l19_l20_allheads/surrogate_score_zoo/ranked_heads_C_itext_hall_minus_nonhall.json,L19H5,L19H5 L13H25 L19H3 L15H6 L13H7 L13H14 L19H1 L19H23 L13H24 L20H9 L13H20 L19H14 L13H16 L20H18 L15H22 L13H9 L20H5 L19H24 L15H5 L13H1
C_image_drop_nonhall_minus_hall,Image-attention drop from grounded to hallucinated object steps.,./results_l13_l15_l18_l19_l20/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l13_l15_l18_l19_l20_allheads/surrogate_score_zoo/ranked_heads_C_image_drop_nonhall_minus_hall.json,L19H17,L19H17 L19H23 L13H22 L20H18 L18H13 L19H5 L18H15 L13H20 L13H5 L13H25 L20H23 L15H27 L15H7 L13H24 L18H10 L20H17 L13H14 L13H0 L13H12 L19H15
