score_name,description,path,top1,top20
text_all,Mean generated-text-prefix attention over all generated steps.,./results_l9_l21/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l9_l21_allheads/surrogate_score_zoo/ranked_heads_text_all.json,L18H7,L18H7 L19H0 L18H25 L12H0 L9H16 L19H4 L18H8 L14H25 L21H23 L18H17 L20H1 L9H27 L16H26 L18H20 L10H1 L21H6 L18H0 L20H2 L13H13 L17H2
itext_all,Mean intervention text-slice attention over all generated steps.,./results_l9_l21/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l9_l21_allheads/surrogate_score_zoo/ranked_heads_itext_all.json,L18H7,L18H7 L19H0 L18H25 L19H2 L12H0 L18H8 L19H4 L9H16 L14H25 L12H2 L15H26 L21H23 L18H17 L20H1 L9H27 L16H26 L14H21 L18H20 L21H6 L18H0
text_hall,Mean generated-text-prefix attention on hallucinated object steps.,./results_l9_l21/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l9_l21_allheads/surrogate_score_zoo/ranked_heads_text_hall.json,L18H7,L18H7 L19H0 L18H25 L12H0 L18H8 L19H4 L9H16 L14H25 L9H27 L20H1 L17H2 L18H17 L21H23 L18H20 L16H26 L18H9 L21H6 L10H1 L20H2 L13H13
text_object,Mean generated-text-prefix attention on object steps.,./results_l9_l21/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l9_l21_allheads/surrogate_score_zoo/ranked_heads_text_object.json,L19H0,L19H0 L18H7 L12H0 L18H25 L20H1 L14H25 L18H8 L19H4 L9H16 L21H23 L9H27 L18H17 L20H2 L21H6 L16H26 L10H1 L17H2 L13H13 L18H20 L18H9
ratio_all,Mean-level T/(T+I) over all generated steps.,./results_l9_l21/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l9_l21_allheads/surrogate_score_zoo/ranked_heads_ratio_all.json,L18H7,L18H7 L19H0 L15H11 L13H13 L10H27 L20H1 L21H15 L18H9 L12H0 L10H26 L11H1 L13H8 L15H5 L13H9 L16H21 L12H3 L11H18 L10H4 L10H25 L10H1
ratio_hall,Mean-level T/(T+I) on hallucinated object steps.,./results_l9_l21/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l9_l21_allheads/surrogate_score_zoo/ranked_heads_ratio_hall.json,L18H7,L18H7 L19H0 L15H11 L10H27 L13H13 L20H1 L18H9 L15H5 L13H9 L12H0 L10H26 L10H22 L10H25 L21H15 L16H21 L12H3 L21H20 L13H8 L10H4 L17H2
logtoi_hall,"Log text-over-image ratio on hallucinated object steps, from mean masses.",./results_l9_l21/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l9_l21_allheads/surrogate_score_zoo/ranked_heads_logtoi_hall.json,L18H7,L18H7 L19H0 L15H11 L10H27 L13H13 L20H1 L18H9 L15H5 L13H9 L12H0 L10H26 L10H22 L10H25 L21H15 L16H21 L12H3 L21H20 L13H8 L10H4 L17H2
low_image_hall,Heads that pay little image attention on hallucinated object steps.,./results_l9_l21/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l9_l21_allheads/surrogate_score_zoo/ranked_heads_low_image_hall.json,L18H7,L18H7 L19H0 L10H27 L10H25 L15H11 L13H13 L10H26 L10H22 L20H1 L13H8 L11H1 L18H9 L15H5 L13H9 L11H18 L21H15 L12H0 L16H21 L21H20 L10H4
C_text_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in text-prefix attention.,./results_l9_l21/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l9_l21_allheads/surrogate_score_zoo/ranked_heads_C_text_hall_minus_nonhall.json,L13H25,L13H25 L9H6 L13H7 L19H5 L12H21 L15H6 L9H21 L12H23 L21H0 L19H3 L9H4 L15H2 L17H21 L19H23 L21H21 L13H24 L14H26 L10H3 L19H27 L14H17
C_ratio_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in T/(T+I).,./results_l9_l21/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l9_l21_allheads/surrogate_score_zoo/ranked_heads_C_ratio_hall_minus_nonhall.json,L9H11,L9H11 L10H19 L21H2 L15H27 L9H26 L13H14 L13H5 L9H23 L19H5 L11H7 L12H20 L13H20 L13H22 L13H25 L14H24 L10H9 L14H15 L20H9 L18H13 L11H26
C_logtoi_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in log text-over-image.,./results_l9_l21/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l9_l21_allheads/surrogate_score_zoo/ranked_heads_C_logtoi_hall_minus_nonhall.json,L19H0,L19H0 L18H7 L10H25 L15H13 L11H5 L10H13 L10H22 L10H23 L17H2 L11H15 L17H1 L13H0 L15H12 L10H26 L12H1 L11H16 L15H27 L9H11 L18H25 L13H9
C_itext_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in intervention text-slice mass.,./results_l9_l21/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l9_l21_allheads/surrogate_score_zoo/ranked_heads_C_itext_hall_minus_nonhall.json,L9H6,L9H6 L19H5 L12H21 L13H25 L19H3 L15H6 L13H7 L9H4 L9H21 L21H0 L13H14 L21H21 L19H1 L21H2 L19H23 L17H21 L12H23 L13H24 L9H23 L20H9
