score_name,selection_method,front,back,verified_set,top20,top50,top100,verified_available,verified_total,missing_verified,top20_hits,top50_hits,top100_hits,top20_heads,path
global__itext_all__C_toi_HminusG,global,itext_all,C_toi_HminusG,verified_HH_git,1,1,4,11,30,L17H0 L17H28 L18H9 L18H26 L19H18 L19H23 L19H27 L20H5 L20H12 L20H20 L22H9 L22H20 L26H9 L26H28 L27H29 L29H8 L30H9 L31H3 L31H26,L16H29,L16H29,L12H10 L13H31 L15H9 L16H29,L14H8 L15H7 L11H17 L10H30 L14H10 L11H16 L15H4 L9H9 L16H29 L9H10 L12H15 L12H3 L11H8 L14H11 L16H30 L13H24 L12H23 L14H26 L10H19 L16H31,./results_l9_l16/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_global__itext_all__C_toi_HminusG.json
global__itext_all__C_toi_HminusG,global,itext_all,C_toi_HminusG,verified_HH_yield,1,1,4,10,30,L17H0 L18H9 L18H26 L19H12 L19H18 L19H27 L20H5 L20H12 L20H20 L22H9 L22H17 L22H20 L26H9 L26H28 L27H29 L30H5 L30H9 L31H3 L31H26 L31H27,L16H29,L16H29,L12H10 L13H31 L15H9 L16H29,L14H8 L15H7 L11H17 L10H30 L14H10 L11H16 L15H4 L9H9 L16H29 L9H10 L12H15 L12H3 L11H8 L14H11 L16H30 L13H24 L12H23 L14H26 L10H19 L16H31,./results_l9_l16/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_global__itext_all__C_toi_HminusG.json
local__itext_all__C_toi_HminusG,local,itext_all,C_toi_HminusG,verified_HH_git,1,2,4,11,30,L17H0 L17H28 L18H9 L18H26 L19H18 L19H23 L19H27 L20H5 L20H12 L20H20 L22H9 L22H20 L26H9 L26H28 L27H29 L29H8 L30H9 L31H3 L31H26,L16H29,L15H9 L16H29,L13H31 L14H14 L15H9 L16H29,L14H8 L15H7 L11H17 L10H30 L9H9 L16H29 L12H15 L13H24 L14H10 L15H4 L11H16 L10H19 L9H10 L16H30 L12H3 L13H28 L14H11 L15H8 L11H8 L10H10,./results_l9_l16/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_local__itext_all__C_toi_HminusG.json
local__itext_all__C_toi_HminusG,local,itext_all,C_toi_HminusG,verified_HH_yield,1,2,4,10,30,L17H0 L18H9 L18H26 L19H12 L19H18 L19H27 L20H5 L20H12 L20H20 L22H9 L22H17 L22H20 L26H9 L26H28 L27H29 L30H5 L30H9 L31H3 L31H26 L31H27,L16H29,L15H9 L16H29,L13H31 L14H14 L15H9 L16H29,L14H8 L15H7 L11H17 L10H30 L9H9 L16H29 L12H15 L13H24 L14H10 L15H4 L11H16 L10H19 L9H10 L16H30 L12H3 L13H28 L14H11 L15H8 L11H8 L10H10,./results_l9_l16/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_local__itext_all__C_toi_HminusG.json
layerweighted_top5mean_alpha2__itext_all__C_toi_HminusG,layerweighted_top5mean_alpha2,itext_all,C_toi_HminusG,verified_HH_git,0,0,4,11,30,L17H0 L17H28 L18H9 L18H26 L19H18 L19H23 L19H27 L20H5 L20H12 L20H20 L22H9 L22H20 L26H9 L26H28 L27H29 L29H8 L30H9 L31H3 L31H26,,,L12H10 L14H14 L14H16 L16H29,L11H17 L11H16 L11H8 L11H26 L11H18 L11H19 L11H25 L11H24 L11H10 L11H9 L11H14 L11H23 L11H15 L11H30 L11H0 L11H31 L11H11 L11H2 L11H27 L11H1,./results_l9_l16/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__itext_all__C_toi_HminusG.json
layerweighted_top5mean_alpha2__itext_all__C_toi_HminusG,layerweighted_top5mean_alpha2,itext_all,C_toi_HminusG,verified_HH_yield,0,0,5,10,30,L17H0 L18H9 L18H26 L19H12 L19H18 L19H27 L20H5 L20H12 L20H20 L22H9 L22H17 L22H20 L26H9 L26H28 L27H29 L30H5 L30H9 L31H3 L31H26 L31H27,,,L12H10 L14H4 L14H14 L14H16 L16H29,L11H17 L11H16 L11H8 L11H26 L11H18 L11H19 L11H25 L11H24 L11H10 L11H9 L11H14 L11H23 L11H15 L11H30 L11H0 L11H31 L11H11 L11H2 L11H27 L11H1,./results_l9_l16/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__itext_all__C_toi_HminusG.json
global__itext_all__C_logtoi_HminusG,global,itext_all,C_logtoi_HminusG,verified_HH_git,0,1,4,11,30,L17H0 L17H28 L18H9 L18H26 L19H18 L19H23 L19H27 L20H5 L20H12 L20H20 L22H9 L22H20 L26H9 L26H28 L27H29 L29H8 L30H9 L31H3 L31H26,,L16H29,L12H10 L15H9 L15H24 L16H29,L14H8 L14H10 L10H30 L15H4 L11H17 L9H9 L11H16 L11H8 L11H9 L12H26 L12H15 L11H26 L12H30 L9H10 L11H11 L11H14 L15H20 L13H24 L12H23 L12H24,./results_l9_l16/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_global__itext_all__C_logtoi_HminusG.json
global__itext_all__C_logtoi_HminusG,global,itext_all,C_logtoi_HminusG,verified_HH_yield,0,1,4,10,30,L17H0 L18H9 L18H26 L19H12 L19H18 L19H27 L20H5 L20H12 L20H20 L22H9 L22H17 L22H20 L26H9 L26H28 L27H29 L30H5 L30H9 L31H3 L31H26 L31H27,,L16H29,L12H10 L15H9 L15H24 L16H29,L14H8 L14H10 L10H30 L15H4 L11H17 L9H9 L11H16 L11H8 L11H9 L12H26 L12H15 L11H26 L12H30 L9H10 L11H11 L11H14 L15H20 L13H24 L12H23 L12H24,./results_l9_l16/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_global__itext_all__C_logtoi_HminusG.json
local__itext_all__C_logtoi_HminusG,local,itext_all,C_logtoi_HminusG,verified_HH_git,1,1,4,11,30,L17H0 L17H28 L18H9 L18H26 L19H18 L19H23 L19H27 L20H5 L20H12 L20H20 L22H9 L22H20 L26H9 L26H28 L27H29 L29H8 L30H9 L31H3 L31H26,L16H29,L16H29,L13H9 L13H31 L15H9 L16H29,L14H8 L10H30 L15H4 L11H17 L9H9 L12H26 L13H24 L16H29 L14H10 L10H9 L15H20 L11H16 L9H10 L12H15 L13H22 L16H30 L14H11 L10H24 L15H8 L11H8,./results_l9_l16/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_local__itext_all__C_logtoi_HminusG.json
local__itext_all__C_logtoi_HminusG,local,itext_all,C_logtoi_HminusG,verified_HH_yield,1,1,3,10,30,L17H0 L18H9 L18H26 L19H12 L19H18 L19H27 L20H5 L20H12 L20H20 L22H9 L22H17 L22H20 L26H9 L26H28 L27H29 L30H5 L30H9 L31H3 L31H26 L31H27,L16H29,L16H29,L13H31 L15H9 L16H29,L14H8 L10H30 L15H4 L11H17 L9H9 L12H26 L13H24 L16H29 L14H10 L10H9 L15H20 L11H16 L9H10 L12H15 L13H22 L16H30 L14H11 L10H24 L15H8 L11H8,./results_l9_l16/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_local__itext_all__C_logtoi_HminusG.json
