score_name,description,path,top1,top20
text_all,Mean generated-text-prefix attention over all generated steps.,./results/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l0_l31_allheads/surrogate_score_zoo/ranked_heads_text_all.json,L31H14,L31H14 L0H2 L0H0 L30H25 L0H24 L12H12 L0H25 L0H26 L0H7 L0H27 L0H6 L0H11 L0H1 L31H0 L31H11 L0H4 L0H5 L0H23 L0H10 L15H6
itext_all,Mean intervention text-slice attention over all generated steps.,./results/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l0_l31_allheads/surrogate_score_zoo/ranked_heads_itext_all.json,L31H14,L31H14 L0H0 L0H2 L0H25 L0H24 L0H7 L0H26 L30H25 L0H27 L0H6 L0H1 L0H11 L0H23 L0H4 L0H5 L12H12 L0H10 L31H0 L31H11 L13H31
text_hall,Mean generated-text-prefix attention on hallucinated object steps.,./results/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l0_l31_allheads/surrogate_score_zoo/ranked_heads_text_hall.json,L31H14,L31H14 L0H2 L0H0 L0H11 L0H24 L0H26 L0H27 L0H25 L31H0 L30H25 L0H7 L0H6 L0H4 L12H12 L31H11 L0H5 L30H18 L15H5 L14H8 L13H31
text_object,Mean generated-text-prefix attention on object steps.,./results/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l0_l31_allheads/surrogate_score_zoo/ranked_heads_text_object.json,L31H14,L31H14 L0H2 L0H0 L0H24 L0H11 L0H26 L0H27 L31H0 L0H25 L30H25 L12H12 L31H11 L15H5 L0H6 L0H7 L0H4 L13H31 L0H5 L30H18 L15H6
ratio_all,Mean-level T/(T+I) over all generated steps.,./results/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l0_l31_allheads/surrogate_score_zoo/ranked_heads_ratio_all.json,L0H31,L0H31 L31H14 L0H29 L12H12 L15H7 L16H29 L14H8 L27H14 L21H10 L31H0 L16H22 L19H7 L11H17 L31H28 L11H16 L15H0 L10H9 L17H11 L8H21 L28H26
ratio_hall,Mean-level T/(T+I) on hallucinated object steps.,./results/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l0_l31_allheads/surrogate_score_zoo/ranked_heads_ratio_hall.json,L0H31,L0H31 L31H14 L0H29 L16H22 L19H7 L17H11 L14H8 L12H12 L31H0 L11H16 L16H13 L28H26 L16H29 L15H7 L20H29 L16H14 L0H2 L12H17 L14H11 L11H17
logtoi_hall,"Log text-over-image ratio on hallucinated object steps, from mean masses.",./results/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l0_l31_allheads/surrogate_score_zoo/ranked_heads_logtoi_hall.json,L0H31,L0H31 L31H14 L0H29 L16H22 L19H7 L17H11 L14H8 L12H12 L31H0 L11H16 L16H13 L28H26 L16H29 L15H7 L20H29 L16H14 L0H2 L12H17 L14H11 L11H17
low_image_hall,Heads that pay little image attention on hallucinated object steps.,./results/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l0_l31_allheads/surrogate_score_zoo/ranked_heads_low_image_hall.json,L0H31,L0H31 L0H29 L31H14 L2H16 L19H7 L6H30 L16H22 L29H18 L24H4 L25H8 L9H26 L25H10 L20H21 L16H13 L20H29 L0H30 L28H26 L8H4 L28H5 L6H0
C_text_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in text-prefix attention.,./results/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l0_l31_allheads/surrogate_score_zoo/ranked_heads_C_text_hall_minus_nonhall.json,L22H7,L22H7 L21H4 L7H27 L3H12 L24H12 L26H11 L9H30 L11H26 L14H10 L9H19 L15H28 L11H25 L17H30 L15H9 L24H31 L4H6 L11H24 L7H12 L21H14 L25H1
C_ratio_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in T/(T+I).,./results/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l0_l31_allheads/surrogate_score_zoo/ranked_heads_C_ratio_hall_minus_nonhall.json,L15H1,L15H1 L19H13 L21H14 L21H15 L17H29 L15H14 L6H20 L6H9 L21H26 L22H11 L28H10 L20H30 L9H19 L17H26 L18H0 L18H5 L17H31 L6H6 L4H6 L20H25
C_logtoi_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in log text-over-image.,./results/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l0_l31_allheads/surrogate_score_zoo/ranked_heads_C_logtoi_hall_minus_nonhall.json,L7H10,L7H10 L6H9 L20H3 L20H29 L6H13 L10H30 L28H22 L28H10 L7H12 L7H27 L17H18 L26H21 L24H13 L24H31 L15H4 L11H8 L15H14 L17H30 L0H31 L7H8
C_itext_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in intervention text-slice mass.,./results/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l0_l31_allheads/surrogate_score_zoo/ranked_heads_C_itext_hall_minus_nonhall.json,L22H7,L22H7 L21H4 L26H11 L3H12 L24H12 L7H27 L9H30 L15H28 L24H31 L9H19 L17H30 L11H26 L7H12 L25H1 L4H6 L21H14 L11H25 L24H28 L26H21 L15H9
C_image_drop_nonhall_minus_hall,Image-attention drop from grounded to hallucinated object steps.,./results/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l0_l31_allheads/surrogate_score_zoo/ranked_heads_C_image_drop_nonhall_minus_hall.json,L17H29,L17H29 L22H8 L17H26 L21H26 L15H21 L20H9 L21H11 L20H25 L6H20 L9H20 L18H8 L17H21 L17H31 L14H31 L14H22 L9H13 L8H31 L19H9 L23H22 L8H11
RelC_text_hall_minus_nonhall,Relative contrast in text-prefix attention: delta/(hall+grounded).,./results/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l0_l31_allheads/surrogate_score_zoo/ranked_heads_RelC_text_hall_minus_nonhall.json,L24H31,L24H31 L19H12 L25H0 L15H1 L28H22 L19H13 L2H29 L15H28 L23H11 L22H7 L19H2 L18H17 L2H30 L21H18 L18H5 L18H14 L24H11 L26H11 L24H10 L17H2
RelC_ratio_hall_minus_nonhall,Relative contrast in T/(T+I): delta/(hall+grounded).,./results/coco/llama3-llava-next-8b_base_original_qa_n500_txtattn_l0_l31_allheads/surrogate_score_zoo/ranked_heads_RelC_ratio_hall_minus_nonhall.json,L19H13,L19H13 L17H29 L15H1 L21H15 L20H25 L21H14 L20H23 L20H20 L17H26 L15H21 L8H31 L9H19 L21H26 L18H8 L21H1 L23H22 L6H20 L20H9 L21H11 L22H11
