score_name,description,path,top1,top20
text_all,Mean generated-text-prefix attention over all generated steps.,./results/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l0_l27_allheads/surrogate_score_zoo/ranked_heads_text_all.json,L18H7,L18H7 L19H0 L1H3 L1H17 L0H15 L1H15 L1H0 L0H6 L27H8 L18H25 L12H0 L0H5 L0H16 L3H26 L1H4 L3H7 L27H10 L3H25 L9H16 L1H20
itext_all,Mean intervention text-slice attention over all generated steps.,./results/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l0_l27_allheads/surrogate_score_zoo/ranked_heads_itext_all.json,L18H7,L18H7 L19H0 L1H3 L1H0 L1H17 L1H4 L1H15 L3H7 L0H5 L27H8 L0H6 L0H15 L1H20 L0H1 L1H5 L0H16 L18H25 L0H27 L1H23 L3H25
text_hall,Mean generated-text-prefix attention on hallucinated object steps.,./results/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l0_l27_allheads/surrogate_score_zoo/ranked_heads_text_hall.json,L18H7,L18H7 L19H0 L1H3 L1H0 L1H17 L0H15 L27H8 L1H4 L0H6 L0H5 L18H25 L25H4 L1H15 L12H0 L3H7 L0H16 L3H26 L0H3 L27H10 L1H23
text_object,Mean generated-text-prefix attention on object steps.,./results/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l0_l27_allheads/surrogate_score_zoo/ranked_heads_text_object.json,L19H0,L19H0 L18H7 L1H3 L1H0 L1H17 L0H6 L25H4 L0H3 L1H15 L12H0 L27H8 L0H15 L18H25 L3H26 L0H5 L27H10 L0H16 L20H1 L3H24 L14H25
ratio_all,Mean-level T/(T+I) over all generated steps.,./results/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l0_l27_allheads/surrogate_score_zoo/ranked_heads_ratio_all.json,L18H7,L18H7 L19H0 L0H15 L6H1 L4H12 L7H4 L15H11 L13H13 L5H25 L6H6 L6H27 L4H20 L6H2 L1H3 L6H21 L6H15 L10H27 L1H0 L6H16 L20H1
ratio_hall,Mean-level T/(T+I) on hallucinated object steps.,./results/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l0_l27_allheads/surrogate_score_zoo/ranked_heads_ratio_hall.json,L18H7,L18H7 L0H15 L19H0 L6H6 L6H1 L7H4 L5H25 L15H11 L10H27 L4H20 L4H12 L13H13 L6H27 L20H1 L6H16 L1H0 L6H21 L1H3 L6H15 L7H0
logtoi_hall,"Log text-over-image ratio on hallucinated object steps, from mean masses.",./results/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l0_l27_allheads/surrogate_score_zoo/ranked_heads_logtoi_hall.json,L18H7,L18H7 L0H15 L19H0 L6H6 L6H1 L7H4 L5H25 L15H11 L10H27 L4H20 L4H12 L13H13 L6H27 L20H1 L6H16 L1H0 L6H21 L1H3 L6H15 L7H0
low_image_hall,Heads that pay little image attention on hallucinated object steps.,./results/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l0_l27_allheads/surrogate_score_zoo/ranked_heads_low_image_hall.json,L18H7,L18H7 L0H15 L19H0 L4H20 L4H12 L5H25 L6H6 L6H1 L4H23 L6H2 L10H27 L7H4 L6H16 L4H27 L4H19 L10H25 L4H18 L6H27 L7H0 L15H11
C_text_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in text-prefix attention.,./results/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l0_l27_allheads/surrogate_score_zoo/ranked_heads_C_text_hall_minus_nonhall.json,L13H25,L13H25 L8H12 L9H6 L6H9 L7H9 L7H8 L13H7 L19H5 L12H21 L8H8 L15H6 L23H10 L9H21 L7H21 L0H2 L12H23 L6H14 L23H26 L1H5 L21H0
C_ratio_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in T/(T+I).,./results/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l0_l27_allheads/surrogate_score_zoo/ranked_heads_C_ratio_hall_minus_nonhall.json,L9H11,L9H11 L8H12 L10H19 L21H2 L15H27 L6H9 L9H26 L13H14 L13H5 L24H14 L9H23 L19H5 L11H7 L12H20 L13H20 L13H22 L5H0 L13H25 L14H24 L10H9
C_logtoi_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in log text-over-image.,./results/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l0_l27_allheads/surrogate_score_zoo/ranked_heads_C_logtoi_hall_minus_nonhall.json,L19H0,L19H0 L18H7 L5H1 L6H14 L10H25 L15H13 L11H5 L5H26 L10H13 L10H22 L7H0 L4H25 L6H16 L1H4 L5H4 L10H23 L17H2 L11H15 L1H5 L17H1
C_itext_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in intervention text-slice mass.,./results/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l0_l27_allheads/surrogate_score_zoo/ranked_heads_C_itext_hall_minus_nonhall.json,L8H12,L8H12 L9H6 L6H9 L7H8 L19H5 L7H9 L12H21 L23H10 L13H25 L19H3 L15H6 L7H21 L13H7 L8H8 L23H26 L7H13 L9H4 L7H12 L9H21 L21H0
C_image_drop_nonhall_minus_hall,Image-attention drop from grounded to hallucinated object steps.,./results/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l0_l27_allheads/surrogate_score_zoo/ranked_heads_C_image_drop_nonhall_minus_hall.json,L14H23,L14H23 L17H18 L16H17 L16H1 L10H19 L14H15 L19H17 L22H15 L21H13 L19H23 L16H14 L13H22 L8H12 L21H25 L9H23 L12H20 L20H18 L24H17 L18H13 L6H9
RelC_text_hall_minus_nonhall,Relative contrast in text-prefix attention: delta/(hall+grounded).,./results/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l0_l27_allheads/surrogate_score_zoo/ranked_heads_RelC_text_hall_minus_nonhall.json,L21H2,L21H2 L19H3 L22H19 L10H6 L7H8 L20H9 L8H12 L19H5 L19H23 L23H17 L13H14 L9H4 L7H26 L9H6 L7H23 L7H9 L14H24 L8H16 L25H0 L6H9
RelC_ratio_hall_minus_nonhall,Relative contrast in T/(T+I): delta/(hall+grounded).,./results/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l0_l27_allheads/surrogate_score_zoo/ranked_heads_RelC_ratio_hall_minus_nonhall.json,L21H2,L21H2 L10H19 L14H23 L10H6 L19H23 L14H15 L14H24 L16H20 L22H15 L11H26 L19H5 L12H20 L9H11 L8H12 L13H5 L24H14 L13H14 L13H22 L21H25 L21H13
RelC_logtoi_hall_minus_nonhall,Relative contrast in log text-over-image.,./results/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l0_l27_allheads/surrogate_score_zoo/ranked_heads_RelC_logtoi_hall_minus_nonhall.json,L21H2,L21H2 L8H12 L9H11 L10H19 L15H27 L14H23 L10H6 L14H24 L19H23 L14H15 L19H5 L6H9 L9H26 L13H5 L13H14 L12H20 L24H14 L11H7 L11H26 L5H0
RelC_image_drop,Relative image-attention drop on hallucinated object steps.,./results/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l0_l27_allheads/surrogate_score_zoo/ranked_heads_RelC_image_drop.json,L19H0,L19H0 L18H7 L5H1 L5H26 L15H13 L6H14 L9H11 L11H5 L10H25 L10H22 L6H16 L12H1 L7H0 L17H2 L5H4 L4H11 L1H4 L15H27 L8H21 L13H0
Specific_text_delta_x_hall,Absolute text contrast gated by hallucinated-step text strength.,./results/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l0_l27_allheads/surrogate_score_zoo/ranked_heads_Specific_text_delta_x_hall.json,L1H5,L1H5 L12H21 L23H26 L0H2 L6H14 L13H25 L1H4 L8H1 L13H7 L14H26 L0H19 L2H22 L21H21 L15H2 L3H0 L0H25 L8H8 L3H13 L0H27 L9H6
