score_name,selection_method,front,back,verified_set,top20,top50,top100,verified_available,verified_total,missing_verified,top20_hits,top50_hits,top100_hits,top20_heads,path
global__itext_all__C_toi_HminusG,global,itext_all,C_toi_HminusG,verified_HH_git,1,3,5,18,30,L13H31 L16H29 L17H28 L22H9 L22H20 L26H9 L26H28 L27H29 L29H8 L30H9 L31H3 L31H26,L18H9,L13H9 L15H9 L18H9,L13H9 L15H9 L15H10 L18H9 L20H5,L18H7 L19H0 L12H0 L18H25 L14H25 L19H2 L20H1 L17H2 L9H16 L18H9 L15H12 L15H11 L21H19 L10H1 L18H17 L18H0 L16H25 L17H1 L16H21 L15H13,./results_l9_l21/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l9_l21_allheads/surrogate_score_zoo/ranked_heads_global__itext_all__C_toi_HminusG.json
global__itext_all__C_toi_HminusG,global,itext_all,C_toi_HminusG,verified_HH_yield,1,2,4,17,30,L13H31 L16H29 L22H9 L22H17 L22H20 L26H9 L26H28 L27H29 L30H5 L30H9 L31H3 L31H26 L31H27,L18H9,L15H9 L18H9,L15H9 L15H10 L18H9 L20H5,L18H7 L19H0 L12H0 L18H25 L14H25 L19H2 L20H1 L17H2 L9H16 L18H9 L15H12 L15H11 L21H19 L10H1 L18H17 L18H0 L16H25 L17H1 L16H21 L15H13,./results_l9_l21/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l9_l21_allheads/surrogate_score_zoo/ranked_heads_global__itext_all__C_toi_HminusG.json
local__itext_all__C_toi_HminusG,local,itext_all,C_toi_HminusG,verified_HH_git,1,3,5,18,30,L13H31 L16H29 L17H28 L22H9 L22H20 L26H9 L26H28 L27H29 L29H8 L30H9 L31H3 L31H26,L13H9,L13H9 L18H9 L20H5,L13H9 L15H9 L18H9 L19H27 L20H5,L18H7 L19H0 L12H0 L14H25 L20H1 L17H2 L9H16 L15H12 L21H19 L10H1 L16H25 L13H9 L11H5 L18H25 L19H2 L12H3 L14H9 L20H22 L17H1 L9H27,./results_l9_l21/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l9_l21_allheads/surrogate_score_zoo/ranked_heads_local__itext_all__C_toi_HminusG.json
local__itext_all__C_toi_HminusG,local,itext_all,C_toi_HminusG,verified_HH_yield,0,2,4,17,30,L13H31 L16H29 L22H9 L22H17 L22H20 L26H9 L26H28 L27H29 L30H5 L30H9 L31H3 L31H26 L31H27,,L18H9 L20H5,L15H9 L18H9 L19H27 L20H5,L18H7 L19H0 L12H0 L14H25 L20H1 L17H2 L9H16 L15H12 L21H19 L10H1 L16H25 L13H9 L11H5 L18H25 L19H2 L12H3 L14H9 L20H22 L17H1 L9H27,./results_l9_l21/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l9_l21_allheads/surrogate_score_zoo/ranked_heads_local__itext_all__C_toi_HminusG.json
layerweighted_top5mean_alpha2__itext_all__C_toi_HminusG,layerweighted_top5mean_alpha2,itext_all,C_toi_HminusG,verified_HH_git,1,6,10,18,30,L13H31 L16H29 L17H28 L22H9 L22H20 L26H9 L26H28 L27H29 L29H8 L30H9 L31H3 L31H26,L18H9,L15H9 L15H10 L15H24 L15H25 L18H9 L18H26,L15H9 L15H10 L15H24 L15H25 L17H0 L18H9 L18H26 L19H18 L19H23 L19H27,L18H7 L18H25 L18H9 L18H17 L18H0 L18H20 L18H21 L18H6 L18H2 L18H27 L18H1 L18H14 L18H13 L18H3 L18H8 L18H24 L18H11 L18H23 L18H22 L18H18,./results_l9_l21/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l9_l21_allheads/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__itext_all__C_toi_HminusG.json
layerweighted_top5mean_alpha2__itext_all__C_toi_HminusG,layerweighted_top5mean_alpha2,itext_all,C_toi_HminusG,verified_HH_yield,1,6,10,17,30,L13H31 L16H29 L22H9 L22H17 L22H20 L26H9 L26H28 L27H29 L30H5 L30H9 L31H3 L31H26 L31H27,L18H9,L15H9 L15H10 L15H24 L15H25 L18H9 L18H26,L15H9 L15H10 L15H24 L15H25 L17H0 L18H9 L18H26 L19H12 L19H18 L19H27,L18H7 L18H25 L18H9 L18H17 L18H0 L18H20 L18H21 L18H6 L18H2 L18H27 L18H1 L18H14 L18H13 L18H3 L18H8 L18H24 L18H11 L18H23 L18H22 L18H18,./results_l9_l21/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l9_l21_allheads/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__itext_all__C_toi_HminusG.json
global__itext_all__C_logtoi_HminusG,global,itext_all,C_logtoi_HminusG,verified_HH_git,1,4,4,18,30,L13H31 L16H29 L17H28 L22H9 L22H20 L26H9 L26H28 L27H29 L29H8 L30H9 L31H3 L31H26,L13H9,L13H9 L15H9 L15H10 L18H9,L13H9 L15H9 L15H10 L18H9,L18H7 L19H0 L18H25 L14H25 L12H0 L17H2 L17H1 L15H12 L15H23 L15H13 L9H16 L18H20 L11H5 L18H21 L13H9 L16H21 L21H19 L15H26 L14H9 L10H1,./results_l9_l21/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l9_l21_allheads/surrogate_score_zoo/ranked_heads_global__itext_all__C_logtoi_HminusG.json
global__itext_all__C_logtoi_HminusG,global,itext_all,C_logtoi_HminusG,verified_HH_yield,0,4,4,17,30,L13H31 L16H29 L22H9 L22H17 L22H20 L26H9 L26H28 L27H29 L30H5 L30H9 L31H3 L31H26 L31H27,,L15H9 L15H10 L18H9 L19H12,L15H9 L15H10 L18H9 L19H12,L18H7 L19H0 L18H25 L14H25 L12H0 L17H2 L17H1 L15H12 L15H23 L15H13 L9H16 L18H20 L11H5 L18H21 L13H9 L16H21 L21H19 L15H26 L14H9 L10H1,./results_l9_l21/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l9_l21_allheads/surrogate_score_zoo/ranked_heads_global__itext_all__C_logtoi_HminusG.json
local__itext_all__C_logtoi_HminusG,local,itext_all,C_logtoi_HminusG,verified_HH_git,1,1,4,18,30,L13H31 L16H29 L17H28 L22H9 L22H20 L26H9 L26H28 L27H29 L29H8 L30H9 L31H3 L31H26,L13H9,L13H9,L13H9 L15H9 L15H10 L20H5,L18H7 L19H0 L14H25 L12H0 L17H2 L15H12 L9H16 L11H5 L13H9 L16H21 L21H19 L10H1 L20H18 L18H25 L19H12 L14H9 L12H21 L17H1 L15H23 L9H27,./results_l9_l21/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l9_l21_allheads/surrogate_score_zoo/ranked_heads_local__itext_all__C_logtoi_HminusG.json
local__itext_all__C_logtoi_HminusG,local,itext_all,C_logtoi_HminusG,verified_HH_yield,1,1,4,17,30,L13H31 L16H29 L22H9 L22H17 L22H20 L26H9 L26H28 L27H29 L30H5 L30H9 L31H3 L31H26 L31H27,L19H12,L19H12,L15H9 L15H10 L19H12 L20H5,L18H7 L19H0 L14H25 L12H0 L17H2 L15H12 L9H16 L11H5 L13H9 L16H21 L21H19 L10H1 L20H18 L18H25 L19H12 L14H9 L12H21 L17H1 L15H23 L9H27,./results_l9_l21/coco/qwen2.5-vl-7b_base_original_qa_n500_txtattn_l9_l21_allheads/surrogate_score_zoo/ranked_heads_local__itext_all__C_logtoi_HminusG.json
