score_name,verified_set,top20,top30,top50,top100,top20_heads,path
layerprior_top5mean_alpha0p5__itext_all__C_itext_mass_HminusG,verified_HH_git,8,11,13,15,L16H9 L16H6 L16H2 L16H17 L14H16 L16H4 L14H20 L15H24 L26H9 L19H13 L18H9 L15H5 L26H28 L13H10 L16H29 L26H19 L14H12 L20H12 L16H14 L15H4,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha0p5__itext_all__C_itext_mass_HminusG.json
layerprior_top5mean_alpha0p5__itext_all__C_itext_mass_HminusG,verified_HH_yield,7,10,12,17,L16H9 L16H6 L16H2 L16H17 L14H16 L16H4 L14H20 L15H24 L26H9 L19H13 L18H9 L15H5 L26H28 L13H10 L16H29 L26H19 L14H12 L20H12 L16H14 L15H4,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha0p5__itext_all__C_itext_mass_HminusG.json
layerprior_top5mean_alpha0p5__itext_all__C_toi_HminusG,verified_HH_git,5,8,11,17,L31H27 L31H13 L14H16 L31H0 L14H20 L26H9 L26H28 L15H25 L16H2 L23H18 L26H14 L24H23 L16H17 L15H4 L29H10 L30H10 L28H25 L14H19 L18H9 L18H23,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha0p5__itext_all__C_toi_HminusG.json
layerprior_top5mean_alpha0p5__itext_all__C_toi_HminusG,verified_HH_yield,6,9,11,18,L31H27 L31H13 L14H16 L31H0 L14H20 L26H9 L26H28 L15H25 L16H2 L23H18 L26H14 L24H23 L16H17 L15H4 L29H10 L30H10 L28H25 L14H19 L18H9 L18H23,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha0p5__itext_all__C_toi_HminusG.json
layerprior_top5mean_alpha0p5__txt_attn_raw_all__C_itext_mass_HminusG,verified_HH_git,7,11,14,15,L16H9 L16H2 L16H17 L14H16 L16H6 L16H4 L14H20 L19H13 L18H9 L26H9 L26H28 L16H29 L15H5 L20H12 L13H10 L30H10 L14H12 L16H14 L14H23 L15H22,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha0p5__txt_attn_raw_all__C_itext_mass_HminusG.json
layerprior_top5mean_alpha0p5__txt_attn_raw_all__C_itext_mass_HminusG,verified_HH_yield,6,10,12,17,L16H9 L16H2 L16H17 L14H16 L16H6 L16H4 L14H20 L19H13 L18H9 L26H9 L26H28 L16H29 L15H5 L20H12 L13H10 L30H10 L14H12 L16H14 L14H23 L15H22,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha0p5__txt_attn_raw_all__C_itext_mass_HminusG.json
layerprior_top5mean_alpha0p5__txt_attn_raw_all__C_toi_HminusG,verified_HH_git,6,9,11,17,L31H27 L31H13 L31H0 L14H20 L14H16 L26H9 L26H28 L15H25 L16H2 L23H18 L26H14 L30H10 L29H10 L18H9 L15H4 L31H3 L28H25 L14H19 L16H17 L26H4,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha0p5__txt_attn_raw_all__C_toi_HminusG.json
layerprior_top5mean_alpha0p5__txt_attn_raw_all__C_toi_HminusG,verified_HH_yield,7,10,11,18,L31H27 L31H13 L31H0 L14H20 L14H16 L26H9 L26H28 L15H25 L16H2 L23H18 L26H14 L30H10 L29H10 L18H9 L15H4 L31H3 L28H25 L14H19 L16H17 L26H4,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha0p5__txt_attn_raw_all__C_toi_HminusG.json
layerprior_top5mean_alpha1p0__itext_all__C_itext_mass_HminusG,verified_HH_git,7,9,12,15,L16H9 L16H6 L16H2 L16H17 L14H16 L16H4 L14H20 L15H24 L16H29 L15H5 L16H14 L26H9 L19H13 L14H12 L13H10 L26H28 L18H9 L14H23 L26H19 L15H4,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha1p0__itext_all__C_itext_mass_HminusG.json
layerprior_top5mean_alpha1p0__itext_all__C_itext_mass_HminusG,verified_HH_yield,6,8,11,16,L16H9 L16H6 L16H2 L16H17 L14H16 L16H4 L14H20 L15H24 L16H29 L15H5 L16H14 L26H9 L19H13 L14H12 L13H10 L26H28 L18H9 L14H23 L26H19 L15H4,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha1p0__itext_all__C_itext_mass_HminusG.json
