score_name,selection_method,front,back,verified_set,top20,top50,top100,verified_available,verified_total,missing_verified,top20_hits,top50_hits,top100_hits,top20_heads,path
global__itext_all__C_toi_HminusG,global,itext_all,C_toi_HminusG,verified_HH_git,4,4,6,11,30,L17H0 L17H28 L18H9 L18H26 L19H18 L19H23 L19H27 L20H5 L20H12 L20H20 L22H9 L22H20 L26H9 L26H28 L27H29 L29H8 L30H9 L31H3 L31H26,L14H16 L15H24 L15H25 L16H9,L14H16 L15H24 L15H25 L16H9,L12H10 L14H16 L15H24 L15H25 L16H9 L16H29,L14H16 L14H20 L16H2 L15H25 L12H24 L15H4 L11H7 L16H6 L16H17 L9H27 L16H9 L13H17 L9H31 L14H19 L15H24 L14H29 L15H13 L12H6 L10H24 L14H22,./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_global__itext_all__C_toi_HminusG.json
global__itext_all__C_toi_HminusG,global,itext_all,C_toi_HminusG,verified_HH_yield,3,3,6,10,30,L17H0 L18H9 L18H26 L19H12 L19H18 L19H27 L20H5 L20H12 L20H20 L22H9 L22H17 L22H20 L26H9 L26H28 L27H29 L30H5 L30H9 L31H3 L31H26 L31H27,L14H16 L15H24 L15H25,L14H16 L15H24 L15H25,L12H10 L14H4 L14H16 L15H24 L15H25 L16H29,L14H16 L14H20 L16H2 L15H25 L12H24 L15H4 L11H7 L16H6 L16H17 L9H27 L16H9 L13H17 L9H31 L14H19 L15H24 L14H29 L15H13 L12H6 L10H24 L14H22,./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_global__itext_all__C_toi_HminusG.json
local__itext_all__C_toi_HminusG,local,itext_all,C_toi_HminusG,verified_HH_git,3,4,7,11,30,L17H0 L17H28 L18H9 L18H26 L19H18 L19H23 L19H27 L20H5 L20H12 L20H20 L22H9 L22H20 L26H9 L26H28 L27H29 L29H8 L30H9 L31H3 L31H26,L14H16 L15H24 L15H25,L14H16 L15H24 L15H25 L16H9,L12H10 L13H31 L14H16 L15H24 L15H25 L16H9 L16H29,L14H16 L16H2 L15H25 L12H24 L11H7 L9H27 L13H17 L10H24 L14H20 L16H6 L15H4 L12H6 L11H4 L9H31 L13H10 L10H27 L14H19 L16H17 L15H24 L12H0,./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_local__itext_all__C_toi_HminusG.json
local__itext_all__C_toi_HminusG,local,itext_all,C_toi_HminusG,verified_HH_yield,3,3,6,10,30,L17H0 L18H9 L18H26 L19H12 L19H18 L19H27 L20H5 L20H12 L20H20 L22H9 L22H17 L22H20 L26H9 L26H28 L27H29 L30H5 L30H9 L31H3 L31H26 L31H27,L14H16 L15H24 L15H25,L14H16 L15H24 L15H25,L12H10 L13H31 L14H16 L15H24 L15H25 L16H29,L14H16 L16H2 L15H25 L12H24 L11H7 L9H27 L13H17 L10H24 L14H20 L16H6 L15H4 L12H6 L11H4 L9H31 L13H10 L10H27 L14H19 L16H17 L15H24 L12H0,./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_local__itext_all__C_toi_HminusG.json
layerweighted_top5mean_alpha2__itext_all__C_toi_HminusG,layerweighted_top5mean_alpha2,itext_all,C_toi_HminusG,verified_HH_git,2,4,8,11,30,L17H0 L17H28 L18H9 L18H26 L19H18 L19H23 L19H27 L20H5 L20H12 L20H20 L22H9 L22H20 L26H9 L26H28 L27H29 L29H8 L30H9 L31H3 L31H26,L14H14 L14H16,L14H14 L14H16 L16H9 L16H29,L14H14 L14H16 L15H9 L15H10 L15H24 L15H25 L16H9 L16H29,L14H16 L14H20 L14H19 L14H29 L14H22 L14H28 L14H26 L14H21 L14H24 L14H23 L14H31 L14H3 L14H9 L14H7 L14H4 L14H13 L14H5 L14H15 L14H0 L14H14,./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__itext_all__C_toi_HminusG.json
layerweighted_top5mean_alpha2__itext_all__C_toi_HminusG,layerweighted_top5mean_alpha2,itext_all,C_toi_HminusG,verified_HH_yield,3,4,8,10,30,L17H0 L18H9 L18H26 L19H12 L19H18 L19H27 L20H5 L20H12 L20H20 L22H9 L22H17 L22H20 L26H9 L26H28 L27H29 L30H5 L30H9 L31H3 L31H26 L31H27,L14H4 L14H14 L14H16,L14H4 L14H14 L14H16 L16H29,L14H4 L14H14 L14H16 L15H9 L15H10 L15H24 L15H25 L16H29,L14H16 L14H20 L14H19 L14H29 L14H22 L14H28 L14H26 L14H21 L14H24 L14H23 L14H31 L14H3 L14H9 L14H7 L14H4 L14H13 L14H5 L14H15 L14H0 L14H14,./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__itext_all__C_toi_HminusG.json
global__itext_all__C_logtoi_HminusG,global,itext_all,C_logtoi_HminusG,verified_HH_git,3,5,7,11,30,L17H0 L17H28 L18H9 L18H26 L19H18 L19H23 L19H27 L20H5 L20H12 L20H20 L22H9 L22H20 L26H9 L26H28 L27H29 L29H8 L30H9 L31H3 L31H26,L14H16 L15H24 L16H9,L14H16 L15H10 L15H24 L15H25 L16H9,L13H31 L14H16 L15H10 L15H24 L15H25 L16H9 L16H29,L14H20 L14H16 L16H2 L16H9 L16H31 L16H17 L16H6 L12H24 L12H1 L15H13 L9H31 L15H4 L10H27 L15H24 L15H5 L14H2 L16H4 L15H22 L16H20 L15H27,./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_global__itext_all__C_logtoi_HminusG.json
global__itext_all__C_logtoi_HminusG,global,itext_all,C_logtoi_HminusG,verified_HH_yield,2,5,7,10,30,L17H0 L18H9 L18H26 L19H12 L19H18 L19H27 L20H5 L20H12 L20H20 L22H9 L22H17 L22H20 L26H9 L26H28 L27H29 L30H5 L30H9 L31H3 L31H26 L31H27,L14H16 L15H24,L14H4 L14H16 L15H10 L15H24 L15H25,L13H31 L14H4 L14H16 L15H10 L15H24 L15H25 L16H29,L14H20 L14H16 L16H2 L16H9 L16H31 L16H17 L16H6 L12H24 L12H1 L15H13 L9H31 L15H4 L10H27 L15H24 L15H5 L14H2 L16H4 L15H22 L16H20 L15H27,./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_global__itext_all__C_logtoi_HminusG.json
local__itext_all__C_logtoi_HminusG,local,itext_all,C_logtoi_HminusG,verified_HH_git,3,3,7,11,30,L17H0 L17H28 L18H9 L18H26 L19H18 L19H23 L19H27 L20H5 L20H12 L20H20 L22H9 L22H20 L26H9 L26H28 L27H29 L29H8 L30H9 L31H3 L31H26,L14H16 L15H24 L16H9,L14H16 L15H24 L16H9,L13H31 L14H16 L15H10 L15H24 L15H25 L16H9 L16H29,L14H20 L16H2 L12H24 L15H13 L9H31 L10H27 L11H30 L13H17 L14H16 L16H9 L12H1 L15H4 L9H20 L10H8 L11H4 L13H10 L14H2 L16H31 L12H0 L15H24,./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_local__itext_all__C_logtoi_HminusG.json
local__itext_all__C_logtoi_HminusG,local,itext_all,C_logtoi_HminusG,verified_HH_yield,2,2,7,10,30,L17H0 L18H9 L18H26 L19H12 L19H18 L19H27 L20H5 L20H12 L20H20 L22H9 L22H17 L22H20 L26H9 L26H28 L27H29 L30H5 L30H9 L31H3 L31H26 L31H27,L14H16 L15H24,L14H16 L15H24,L13H31 L14H4 L14H16 L15H10 L15H24 L15H25 L16H29,L14H20 L16H2 L12H24 L15H13 L9H31 L10H27 L11H30 L13H17 L14H16 L16H9 L12H1 L15H4 L9H20 L10H8 L11H4 L13H10 L14H2 L16H31 L12H0 L15H24,./results_l9_l16/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l9_l16_allheads/surrogate_score_zoo/ranked_heads_local__itext_all__C_logtoi_HminusG.json
